"""Time""","""NEXO / Market Cap Estimated (USD)"""
"""2019-12-01""",58331189.57772349
"""2019-12-02""",51070948.68935071
"""2019-12-03""",53867441.687668614
"""2019-12-04""",52307310.96838995
"""2019-12-05""",54089136.12006164
"""2019-12-06""",53004819.50305237
"""2019-12-07""",54121113.70793988
"""2019-12-08""",53696387.122604325
"""2019-12-09""",53768456.70912345
"""2019-12-10""",53251284.51554467
"""2019-12-11""",52917436.13842563
"""2019-12-12""",51686533.21700345
"""2019-12-13""",53328560.0991921
"""2019-12-14""",51642613.515305355
"""2019-12-15""",52333280.00215079
"""2019-12-16""",49337489.143185675
"""2019-12-17""",46878438.996982075
"""2019-12-18""",52112038.85556599
"""2019-12-19""",50884093.92092536
"""2019-12-20""",51913884.97929406
"""2019-12-21""",51298065.13451005
"""2019-12-22""",53410151.88681526
"""2019-12-23""",51595152.496197194
"""2019-12-24""",51721410.08865206
"""2019-12-25""",50243636.40895319
"""2019-12-26""",50533044.51987876
"""2019-12-27""",51847637.4168958
"""2019-12-28""",52991013.22828789
"""2019-12-29""",54650470.96837071
"""2019-12-30""",54713918.33396267
"""2019-12-31""",53766750.83877963
"""2020-01-01""",55129426.41060551
"""2020-01-02""",57856461.85263302
"""2020-01-03""",60078646.16309092
"""2020-01-04""",63002039.4865861
"""2020-01-05""",63841653.9964425
"""2020-01-06""",64511681.49416157
"""2020-01-07""",64923555.442266285
"""2020-01-08""",67211853.65368363
"""2020-01-09""",60472611.82215732
"""2020-01-10""",66884019.05843737
"""2020-01-11""",65859511.28280272
"""2020-01-12""",66458625.513052434
"""2020-01-13""",61516524.51785975
"""2020-01-14""",62092197.78480933
"""2020-01-15""",58242711.89604892
"""2020-01-16""",58965029.11278938
"""2020-01-17""",59671370.41667356
"""2020-01-18""",61277453.28137101
"""2020-01-19""",61699105.078831404
"""2020-01-20""",60320852.60961624
"""2020-01-21""",59429791.935022585
"""2020-01-22""",59582669.574309565
"""2020-01-23""",55478941.78763434
"""2020-01-24""",55899618.9998711
"""2020-01-25""",57503277.82651869
